# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,ALETES,PINDORAMA,BELO HORIZONTE
RUA,ALEXANDRE BARBOSA,SAO JOSE,BELO HORIZONTE
RUA,ALEXANDRE DE GUSMAO,CAMPO ALEGRE,BELO HORIZONTE
RUA,ALEXANDRE HENRIQUE,GLORIA,BELO HORIZONTE
RUA,ALEXANDRE MATHIAS ALVES,NOVA CINTRA,BELO HORIZONTE
PRACA,ALEXANDRE MOTERANI,SANTA TEREZINHA,BELO HORIZONTE
RUA,ALEXANDRE SIQUEIRA,CAICARAS,BELO HORIZONTE
RUA,ALEXANDRE SIQUEIRA,SALGADO FILHO,BELO HORIZONTE
RUA,ALEXANDRE STOCKLER,SENHOR DOS PASSOS,BELO HORIZONTE
RUA,ALEXANDRE TOURINHO,HORTO,BELO HORIZONTE
PRACA,ALEXANDRINA MARIA COUTINHO,CEU AZUL,BELO HORIZONTE
RUA,ALEXANDRINO DE OLIVEIRA NETO,DOM JOAQUIM,BELO HORIZONTE
RUA,ALEXANDRITA,BETANIA,BELO HORIZONTE
RUA,ALFA,APARECIDA,BELO HORIZONTE
RUA,ALFA,JARDIM AMERICA,BELO HORIZONTE
RUA,ALFAR GOMES,LINDEIA (BARREIRO),BELO HORIZONTE
RUA,ALFAZEMA,LINDEIA (BARREIRO),BELO HORIZONTE
RUA,ALFENAS,CRUZEIRO,BELO HORIZONTE
RUA,ALFEU DE CARVALHO,TUPI B,BELO HORIZONTE
RUA,ALFEU GONCALVES QUEIROGA,PETROPOLIS (BARREIRO),BELO HORIZONTE
RUA,ALFINETE,LINDEIA (BARREIRO),BELO HORIZONTE
RUA,ALFREDINA AMARAL,MILIONARIOS (BARREIRO),BELO HORIZONTE
RUA,ALFREDO ALVES DE CASTRO,MANTIQUEIRA,BELO HORIZONTE
PRACA,ALFREDO ALVES MARTINS,LETICIA,BELO HORIZONTE
RUA,ALFREDO ALVES PINTO,SAO JOAO BATISTA (VENDA NOVA),BELO HORIZONTE
RUA,ALFREDO CAPORALLI,PALMEIRAS,BELO HORIZONTE
RUA,ALFREDO GUZELHA,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,ALFREDO GUZELLA,PLANALTO,BELO HORIZONTE
RUA,ALFREDO HERDY DE CARVALHO,TEIXEIRA DIAS (BARREIRO),BELO HORIZONTE
RUA,ALFREDO LELLIS,CAMPO ALEGRE,BELO HORIZONTE
BECO,ALFREDO PINTO,HORTO,BELO HORIZONTE
RUA,ALFREDO SANTOS NEVES,VENDA NOVA,BELO HORIZONTE
RUA,ALGA AZUL,JARDIM GUANABARA,BELO HORIZONTE
RUA,ALGA DOURADA,JARDIM GUANABARA,BELO HORIZONTE
RUA,ALGA MARINHA,JARDIM GUANABARA,BELO HORIZONTE
RUA,ALGA VERDE,JARDIM GUANABARA,BELO HORIZONTE
RUA,ALGA VERMELHA,JARDIM GUANABARA,BELO HORIZONTE
RUA,ALGAS,BOA VISTA,BELO HORIZONTE
RUA,ALIANCA,SAO GABRIEL,BELO HORIZONTE
RUA,ALICE,SANTA SOFIA,BELO HORIZONTE
RUA,ALICE MAGALHAES LOPES,GARCAS,BELO HORIZONTE
RUA,ALICE MARQUES,CEU AZUL,BELO HORIZONTE
RUA,ALICE PERRI,JARDIM GUANABARA,BELO HORIZONTE
RUA,ALICE TERAIAMA,OLHOS D'AGUA,BELO HORIZONTE
RUA,ALICEDRO,PINDORAMA,BELO HORIZONTE
RUA,ALINE,PINDORAMA,BELO HORIZONTE
RUA,ALIPIO DE CASTRO,MARIA GORETTI,BELO HORIZONTE
RUA,ALIPIO DE MELO,JARDIM MONTANHES,BELO HORIZONTE
RUA,ALIPIO DE MELO,JARDIM ALVORADA,BELO HORIZONTE
RUA,DOUTOR ALIPIO GOULART,SERRA,BELO HORIZONTE
RUA,ALIPIO GOULART,MARCOLA,BELO HORIZONTE
RUA,ALKIMIM,CABANA,BELO HORIZONTE
RUA,ALMADA,PINDORAMA,BELO HORIZONTE
RUA,ALMANDINA,SANTA TERESA,BELO HORIZONTE
RUA,ALMEIDA,NOVA VISTA,BELO HORIZONTE
RUA,ALMEIDA MELO,NOVA ESPERANCA,BELO HORIZONTE
RUA,ALMENARA,CACHOEIRINHA,BELO HORIZONTE
RUA,ALMENARA,DOM BOSCO,BELO HORIZONTE
BECO,ALMENARA,SERRA,BELO HORIZONTE
BECO,DONA ALMERINDA,VILA SAO JOSE,BELO HORIZONTE
